Title,Incident_Count
Regularize the attendance for February,2
Regularized Attendance in SF,2
VWITS-Facing login issue with test and admin account.,2
VWITS-Unable to Reset Password - SuccessFactor,2
"VWITS_After giving the credentials and the cloud IDP fingerprint in GitHub, even when I enter the correct GitHub code from the Authenticator app, it still shows the code as wrong.”",2
"VWITS_I am having problem with edge,",2
"VWITS_Hello Team, On 7th and 8th November 2024, i did work from office but in the time off it showing as work from home (i did swipein and swipe off also) please help me to solve this issue.",2
VWITS-Facing outlook issue,2
VWITS-Unable to access Belenus portal,2
VWITS-Not been able to connect to Zscaler.,2
VWITS-Request to unlock SF account,2
VWITS-VPN connection is not working,2
VWITS-Not getting access for below URL.,2
Request for Comp Off due to PI Planning on Election Holiday,2
VWITS- Attendance regularization required for 25th of June 2024.,2
VWITS_Help needed in changing the timesheet in backend,2
VWITS-Query Mgmt. System: Response Available for Query 5558,2
VWITS-VPN connectivity issue,2
VWITS- Attendance regularize,2
VWITS-taking more time for GOC,2
VWITS-Swipe Out Time Not Captured for 25th June 2024,2
Request for Regularization of attendance,2
VWITS_Digital sign issue,2
VWITS-Mails are not sending from my mail ID,2
VWITS-Swipe in time regularization,2
VWITS_Error in installing adt for eclipse,2
VWITS-Not getting the attendance report,2
VWITS-Query Mgmt. System: Response Available for Query 7360,2
VWITS-Manager is not able to see the request in his window.,2
VWITS-JIRA Board Access,2
Request for re-attempt Gen AI Security Awareness,2
Request for unlock the exam attempt,2
VWITS-this request is being raised for testing purposes.,2
VWITS-Non Compliance | Mandatory Information Security Training,2
VWITS-JIRA link not working in the VW network,2
